Name	Value	Count	Avg
Chả Lụi Lagi - Nhà Thờ Hầm	8	2	4
Chả Lụi Lagi - Nhà Thờ Hầm 	5	2	2.5
Chả lụi Lagi Đồng Đen	0	2	0
Chả Lụi Nướng LaGi	41	12	3.42
Chả Lụi Nướng Lagi - Nguyễn Án	4	1	4
Chagall Coffee	8	2	4
Chago Tea & Cafe - Nguyễn Trãi	56	14	4
Chai & The Mermaid In It	21	7	3
Cham Charm - Buffet Sang Trọng	51	13	3.92
Chấm Đỏ -  Parkson CT Plaza	10	3	3.33
Champa Cafe	5	1	5
Chân gà sả ớt chua cay 	20	4	5
Chân Gà Sả Tắc - Shop Online	8	2	4
Chấn Phát	4	1	4
Changmin Nhi	0	2	0
Chảnh - Mix Trái Cây	13	3	4.33
Chanh Bistro Rooftop - Nhà Hàng Món Âu	7	2	3.5
Chanh Bistro Rooftop Saigon	353	81	4.36
Cháo A BOY	0	1	0
Cháo Bà Già - Hoàng Diệu	4	1	4
Cháo Bầu Cánh Đồng Hoang	4	1	4
Chảo Cafe - Nguyễn Văn Thủ	33	8	4.12
CHẢO Cafe - Nguyễn Văn Thủ 	15	3	5
Chảo Cafe - Pasteur	4	1	4
Chảo Cafe - Pasteur 	23	6	3.83
Chao Chicken - Gà Rán Hàn Quốc	64	20	3.2
Chao Ech 1Lee	46	11	4.18
Cháo Ếch A.Vương - Thủ Đức	4	1	4
Chao Ech Cay Cay	34	9	3.78
Cháo ếch Cay Cay	8	2	4
Cháo Ếch Cay Cay 1	20	5	4
Cháo Ếch Cay Cay 2	8	2	4
Cháo ếch Hoàng Anh	5	1	5
Cháo Ếch Merci Res	3	1	3
Cháo Ếch Merci Res - Vũ Huy Tấn	8	3	2.67
Cháo ếch Sentosa - Hồng Hà	34	8	4.25
Cháo ếch Sentosa - Quang Trung	5	1	5
Cháo ếch Sentosa Food 	8	2	4
Cháo Ếch Singapore	8	2	4
Cháo Ếch Singapore - Cách Mạng Tháng 8	8	2	4
Cháo Ếch Singapore - Cao Thắng	21	7	3
Cháo Ếch Singapore - Đường Số 4	24	5	4.8
Cháo Ếch Singapore - Hai Bà Trưng	12	3	4
Cháo ếch Singapore - Nguyễn Kiệm	5	1	5
Cháo ếch Singapore - Nguyễn Tri Phương	4	1	4
Cháo Ếch Singapore - Nguyễn Văn Cừ	15	3	5
Cháo Ếch Singapore - Quang Trung	14	4	3.5
Cháo ếch Singapore - Sư Vạn Hạnh	21	5	4.2
Cháo Ếch Singapore A.Vương	13	3	4.33
Cháo Ếch Singapore Đà Nẵng	5	1	5
Cháo Ếch Singapore Merci RES - Vũ Huy Tấn	20	5	4
Cháo Ếch Singapore Merlion	8	2	4
Cháo Ếch Singapore -Tô Hiến Thành	28	7	4
Cháo ếch Singarpore - Merci RES	16	4	4
Cháo Ếch Sư Phụ Singapore - Quang Trung	4	1	4
Cháo giò heo Bạch Đằng	4	1	4
Cháo Gỏi Vịt Tam Bình	5	1	5
Cháo Hàu Phú Hào	4	1	4
Cháo Huyết Bò Viên & Giò Heo - Tám Hói 	0	1	0
Cháo lòng - Cầu Chu Văn An	5	1	5
Cháo Lòng - Lý Thường Kiệt	9	2	4.5
Cháo Lòng - Óc Heo Bình Dân - Cô Giang	5	1	5
Cháo lòng - Võ Thị Sáu	4	1	4
Cháo Lòng & Cháo Mực - Nguyễn Thị Minh Khai	10	3	3.33
Cháo Lòng 144	8	2	4
Cháo Lòng 170B Võ Thị Sáu	12	3	4
Cháo lòng 221 	8	2	4
Cháo lòng Bà Út	4	1	4
Cháo Lòng Bà Út - Cô Giang	8	2	4
Cháo Lươn Trí Nhân	4	1	4
Cháo lươn xứ Nghệ - Nguyễn Duy Trinh	4	1	4
Cháo Lươn Xứ Nghệ - Trần Não	9	2	4.5
Cháo mực - Trần Bình Trọng	4	1	4
Cháo Mực Phó Đức Chính	15	4	3.75
Cháo Mực Thái Sơn	6	2	3
Cháo Ngọc Bích	3	1	3
Chảo Restaurant	8	2	4
Chảo Restaurant - Bánh Mì Chảo	80	20	4
Chảo Restaurant - Trần Quốc Toản	104	26	4
Cháo sá sùng - Trịnh Đình Trọng	4	1	4
Cháo Sườn - Đại Học Mỹ Thuật	9	2	4.5
Cháo Sườn - Xô Viết Nghệ Tĩnh	8	2	4
Cháo Sườn chợ Tân Định	20	5	4
Chao Suon Chu Chen	10	4	2.5
Cháo Sườn Chú Chen	21	5	4.2
Cháo Sườn Chú Chen - Trà Đài Loan	58	15	3.87
Cháo Sườn Ngõ Huyện	3	1	3
Cháo Sườn Ngon Gò Vấp -  Nguyễn Oanh	9	2	4.5
Cháo sườn ông Tạ	8	2	4
Cháo Sườn Ông Tạ - Phạm Văn Hai	11	4	2.75
Cháo Tiều Cô Út - Chợ Bàn Cờ	10	3	3.33
Cháo Trắng - Dạ Nam	8	2	4
Cháo Trắng Hàng Xanh	13	7	1.86
Cháo Trắng Ngọc Liên	8	2	4
Cháo vịt - Lê Thước	5	1	5
Cháo Vịt Thanh Đa (Gốc Nhà Lá) - Bình Quới	11	3	3.67
Cháo Vịt Thanh Đa (Gốc nhà Lá) - Trần Bình Trọng	4	1	4
Cháo Vịt Út Be	7	2	3.5
Chaos Chicken - Gà Rán Hàn Quốc	71	18	3.94
Chất Cafe - Bình Phú	11	3	3.67
Chất Coffee	8	2	4
Chatime - Cao Thắng	5	2	2.5
Chatime Hai Bà Trưng - Trà sữa & Cupcake	2	1	2
Chatime Nguyễn Tri Phương - Trà Sữa & Cupcake	8	2	4
Chatter Box Cafe - Hoàng Hoa Thám	8	2	4
Châu La Phạm Hồng	0	1	0
Châu tobokki	20	4	5
Chay Mandala	57	9	6.33
Chè - chợ Nguyễn Tri Phương	4	1	4
Chè - Nhật Tảo	4	1	4
Chè & Tàu Hủ Nguyên's	0	2	0
Chè 163 - Tô Hiến Thành	8	2	4
Chè 3S - Chè Thốt Nốt & Chè Khúc Bạch	9	2	4.5
Chè 521 - Chè Thái	4	1	4
Chè 75	13	4	3.25
Chè 85	4	1	4
Chè 91 - Trần Văn Dư	5	1	5
Chè Ba Màu	0	2	0
Chè bánh canh ngọt chợ Tân Định	0	3	0
Chè Bi Bo	8	2	4
Chè Bun - Nguyễn Văn Cừ	8	2	4
Chè Bưởi Huế	9	2	4.5
Chè Bưởi Vĩnh Long - Trường Sa	9	2	4.5
Chè Buu	89	19	4.68
Chè Buu - Thái Thị Nhạn	5	1	5
Chè Campuchia	8	2	4
Chè Campuchia Cô Huôi 	12	3	4
Chè Chú Ba - Bình Giã	4	1	4
Chè Cô Có - Chợ Hồ Thị Kỷ	8	2	4
Chè Cô Giang	8	2	4
Chè Đậu Xanh Đánh và Đậu Đen	4	1	4
Chè Đèn Dầu - Nguyễn Kiệm	8	2	4
Chè gốc Hoa	3	1	3
Chè Gốc Hoa - Đề Thám	8	2	4
Chè Hà Ký	48	12	4
Chè Hà Ký 	4	1	4
Chè Hà Ký - Châu Văn Liêm	13	4	3.25
Chè Hoa - Trần Cao Vân	8	2	4
Chè Hương Quê - Cửu Long	10	2	5
Chè Kem Trái Cây Việt	0	1	0
Chè Khúc Bạch Đỗ Ngọc	99	25	3.96
Chè Khúc Bạch Kabi	8	2	4
Chè Khúc Bạch Thanh	32	8	4
Chè Khúc Bạch Thanh - Chân Cầu Hoàng Hoa Thám	28	8	3.5
Chè khúc bạch TN&N Homemade	12	4	3
Chè Nguyên	7	2	3.5
Chè Nguyên Hương	4	1	4
Chè Nhà Đèn - Chè Người Hoa Khu Đèn Năm Ngọn	8	2	4
Chè Sinh viên	0	3	0
Chè Sinh Viên - Ngô Gia Tự	8	2	4
Chè tàu - Âu Cơ	4	1	4
Chè Tàu Cột Điện	20	5	4
Chè Thạch & Chè Thái 122 - Bàu Cát	2	1	2
Chè Thái - Nguyệt Hỷ	8	2	4
Chè Thái Biển Ngọc	4	1	4
Chè Thái Cẩm Thu - Phạm Văn Chiêu	9	2	4.5
Chè Thái Lan 280	14	4	3.5
Chè Thái Thảo Vy	6	2	3
Chè Thái Thảo Vy - Nguyễn Sỹ Sách	3	1	3
Chè Thái Ý Phương	63	17	3.71
Chè Thanh Tâm	28	7	4
Chè Thanh Tâm - Bùi Hữu Nghĩa	4	1	4
Chè Thanh Tâm - Phan Văn Trị	24	6	4
Chè Thập Cẩm Phục Linh	4	1	4
Chè Tô - 367 Minh Phụng	9	2	4.5
Chè Trái Cây Việt	12	4	3
Chè Tường Phong	73	18	4.06
Chè Tỷ Muội	4	1	4
Cheesecake Ngon	286	64	4.47
Cheez Lab	12	4	3
Chef Lập - Gà Nướng Pháp - Hai Bà Trưng	7	2	3.5
Chef Mamma’s	20	5	4
Chef Minh - Dịch Vụ Đãi Tiệc Tại Nhà	41	9	4.56
Chén Đắng Cafe - Võ Thị Sáu	9	3	3
Chen Shabu Shabu - Nướng Không Khói	5	2	2.5
Chép House	80	19	4.21
Chép House - Shop Online	8	2	4
Chewy Junior Bạch Đằng	0	4	0
Chewy Junior-Tran Quang Dieu	26	6	4.33
Chez Guido	162	42	3.86
Chị 3 - Bún Nước	8	2	4
CHI HOA VIETNAMESE CUISINE	287	67	4.28
Chị Hoa Vietnamese Cuisine	16	6	2.67
Chị Mười - Bánh Flan	4	1	4
Chị Ngọc - Bánh Tráng Trộn Sài Gòn	0	2	0
Chị Tuyền - Bún Thịt Nướng	6	2	3
Chí Xì Gòn	14	3	4.67
Chibi Cafe	8	2	4
Chicken Kitchen	4	1	4
Chicken Kitchen - Các Món Gà	8	2	4
Chiến Thắng Billiards	8	2	4
Chiêu Cafe Sách - Ba Vân	4	1	4
Chikara Udon & Ramen - Ẩm Thực Mì Nhật Bản	4	1	4
Chill Sky Bar - Rooftop AB Tower	16	4	4
Chilled Bar and Grill	186	42	4.43
Chilli - Lẩu Nướng Tự Chọn	157	41	3.83
Chilli Thai - Mạc Thị Bưởi	48	12	4
Chinh Cafe	8	2	4
Chính Ký Mì Gia - Trần Huy Liệu	16	4	4
Chip Chip - Trà Sữa Thạch Phô Mai - Lê Đức Thọ	18	4	4.5
Chip Chip - Trà Sữa Thạch Phô Mai - Lê Lợi	12	4	3
Chipotle	244	60	4.07
Chips Coffee & Mojito - Nguyễn Văn Trỗi	32	8	4
chipskitchen - Food corner by Chip	12	4	3
Chi's Cafe	254	60	4.23
Chiz Bakery - GÀ SỐT BÁNH GẠO HÀN QUỐC	4	1	4
Chợ 200	20	11	1.82
Chợ 200 Xóm Chiếu	4	1	4
Chợ Bà Chiểu	57	16	3.56
Chợ bà điểm	28	8	3.5
Chợ Bến Thành	15	4	3.75
Chợ Bến Thành 	56	14	4
Chợ Bonjour Saigon	4	1	4
Chợ Cần Giờ - Hải Sản Tươi Sống	42	11	3.82
Chợ Cuối Tuần	9	2	4.5
Chợ đêm Băng Cốc-Trường Sơn	5	1	5
Chợ Đông Xuân	12	3	4
Chợ Gò Vấp	0	5	0
chợ Gò Vấp,Nguyễn Thái Sơn,Gò Vấp	12	3	4
Chợ Hải Sản Giang Ghẹ 2	4	1	4
Chợ Hàng Dương - Hải Sản Tươi Sống	46	12	3.83
Chợ Hạnh Thông Tây - Gò Vấp	44	11	4
Chợ Hồ Thị Kỷ	25	5	5
chợ Hoàng Hoa Thám	25	5	5
Chợ hóc môn	32	9	3.56
Chợ Lê Hồng Phong	5	4	1.25
Chợ Nguyễn Văn Trỗi	24	5	4.8
Chợ Phạm Thế Hiển, phường 4, quận 8	8	2	4
Chợ Phạm Văn Hai	7	2	3.5
Chợ Sale Cuối Tuần -  Cao Thắng	4	1	4
Chợ Tân Định	11	3	3.67
Chợ Tân Định 	2	1	2
Chợ Tân Mỹ	16	4	4
Chợ Thủ Đức	9	3	3
Chợ Xóm Chiếu	12	3	4
Choco house	6	2	3
Chocolate Graphics – Cộng Hoà	8	2	4
Chocolate Graphics - Vincom Center	8	2	4
Chocolate valentine	0	1	0
Chóe Quán - Lê Văn Sỹ	3	1	3
Choi Go Jip - Công Trường Lam Sơn	24	6	4
Choi Go Jip - Công Trường Mê Linh	8	2	4
Chòi Quán - Hoa Mai	24	6	4
Choice Hotpot - Buffet Lẩu Nhật	38	8	4.75
Chon Chon Cake Shop	4	1	4
Chooki BBQ - Cresent Mall	10	2	5
Chooki BBQ & Hotpot Buffet - Crescent Mall	7	2	3.5
Chooki BBQ & Hotpot Buffet - Kumho Asiana	9	2	4.5
Chooki BBQ & Hotpot Buffet - Vincom Plaza Gò Vấp	7	2	3.5
Chouquettes - Tiệm Bánh Online	0	1	0
Chris Food Online	0	5	0
Chú Ba - Phá Lấu & Khổ Qua Cà Ớt - Dương Đình Nghệ	7	2	3.5
Chu Chu Food - Giao Hàng Tận Nơi	7	2	3.5
Chú Mập - Trà Sữa	6	2	3
Chú Tèo - Món Nướng Tại Bàn, Lẩu, Hải Sản	16	4	4
Chú Tư Già - Hủ Tiếu Bò Viên	5	2	2.5
Chu văn an, quận bình Thạnh	0	6	0
Chùa Bửu Long	38	9	4.22
Chùa Châu Đốc 3 - Bến Gỗ	7	2	3.5
Chùa Giác Lâm - Lạc Long Quân	7	2	3.5
Chùa Hoằng Pháp - Hóc Môn	13	3	4.33
Chùa Kỳ Quang 2	8	2	4
Chùa Ngọc Hoàng - Mai Thị Lựu	16	4	4
Chùa Pháp Hoa - Lê Văn Sỹ	7	2	3.5
Chùa Phổ Quang	25	6	4.17
Chùa Phước Thiện	15	3	5
Chùa Vạn Đức - Tô Ngọc Vân	8	2	4
Chùa Viên Giác - Bùi Thị Xuân	8	2	4
Chuchu Shop	0	3	0
Chuck's Burgers	742	169	4.39
Chuối Chiên - Đề Thám	8	2	4
Chuối nếp nướng Cô Thủy	9	3	3
Chuối Nướng Võ Văn Tần	6	2	3
Chuồn Chuồn Đỏ - Lê Thánh Tôn	16	4	4
Chuông Gió Trà & Cafe - 3 Tháng 2	10	3	3.33
Churros Box - Crescent Mall	76	20	3.8
Churros Box - Hồ Tùng Mậu	82	21	3.9
Churros Box - Huỳnh Thúc Kháng	29	7	4.14
Chu's Store	0	8	0
Chút Chít Quán	28	7	4
Chy - Coffee & Smoothie	38	9	4.22
CI5 Coffee & Tea House	38	10	3.8
CI5 Coffee & Tea House - Lê Văn Sỹ	56	14	4
Ciao Bella	530	119	4.45
Ciao Bella - Món Ý	23	6	3.83
Ciao Cafe	94	23	4.09
Ciao Cafe - Ngô Đức Kế	12	3	4
Ciao Cafe - Nguyễn Huệ	41	10	4.1
CineB Saigon - Lê Công Kiều	7	2	3.5
Cinebox - Hòa Bình	6	2	3
Cinebox - Lý Chính Thắng	29	9	3.22
Cinestar - Nguyễn Trãi	96	25	3.84
Circle K	6	2	3
Circle K - 107 Tôn Dật Tiên	14	4	3.5
Circle K - 167 Tôn Đản	7	2	3.5
Circle K - 171B Hoàng Hoa Thám	8	2	4
Circle K - 46 Hoàng Hoa Thám 	6	2	3
Circle K - An Dương Vương	7	3	2.33
Circle K - Bà Huyện Thanh Quan	8	2	4
Circle K - Bùi Thị Xuân	11	3	3.67
Circle K - Cao Lỗ	8	2	4
Circle K - Công Trường Lam Sơn	7	2	3.5
Circle K - Đồng Nai	8	2	4
Circle K - Đường Số 17	6	2	3
Circle K - Hai Bà Trưng	12	3	4
Circle K - Hậu Giang	12	3	4
Circle K - Hồ Tùng Mậu	8	2	4
Circle K - Hoàng Hoa Thám	26	8	3.25
Circle K - Lâm Văn Bền	8	2	4
Circle K - Lê Văn Sỹ	8	2	4
Circle K - Lý Tự Trọng	14	4	3.5
Circle K - Miếu Nổi	8	2	4
Circle K - Nam Kỳ Khởi Nghĩa	8	2	4
Circle K - Nguyễn Chí Thanh	47	12	3.92
Circle K - Nguyễn Công Trứ	53	14	3.79
Circle K - Nguyễn Huệ	4	2	2
Circle K - Nguyễn Khắc Nhu	5	3	1.67
Circle K - Nguyễn Kim	17	4	4.25
Circle K - Nguyễn Thị Thập	8	2	4
Circle K - Nguyễn Trọng Tuyển	8	2	4
Circle K - Nguyễn Trường Tộ	11	3	3.67
Circle K - Nguyễn Văn Bảo	12	3	4
Circle K - Phạm Ngũ Lão	8	2	4
Circle K - Phan Đăng Lưu	0	5	0
Circle K - Phan Văn Hân	8	2	4
Circle K - Phú Mỹ Hưng	36	9	4
Circle K - Sư Vạn Hạnh	8	2	4
Circle K - Thảo Điền	8	2	4
Circle K - Tôn Dật Tiên	13	3	4.33
Circle K - Trần Quốc Toản	8	2	4
Circle K - Võ Văn Ngân	19	5	3.8
Citi Plaza - Nguyễn Trãi	8	2	4
Citizen coffee	13	5	2.6
Citizone Củ Chi	0	3	0
Citizone Hóc Môn	0	6	0
CJH Coffee - Bình Thới	3	1	3
CJH Coffee & Ice Cream	8	2	4
Clash of Clans Coffee	5	1	5
Clb Bida Carmen	8	2	4
CLB Billiards Angel	7	2	3.5
CLB Billiards Thiên Phúc Honey	7	2	3.5
CLB Karaoke - Saigon Star Hotel 	7	2	3.5
Cliché Cafe	4	1	4
Cloud 9 - Trà sữa	4	1	4
Cloud Garden - Quán cafe siêu xinh đẹp bên Sơn Trà	4	1	4
Clover Cafe - Hồ Biểu Chánh	8	2	4
Clover Cafe & Crepes	52	13	4
Club 12 - Lê Quý Đôn	4	1	4
CLUB Fuji Noodles - Vincom Mega Mall Thảo Điền	5	2	2.5
Cô Anh - Bánh Xèo Miền Trung	7	2	3.5
Cô Ba - Bún Thịt Nướng	10	2	5
Cỏ Ba Lá - Chè Khúc Bạch, Bánh Bèo Chén	6	2	3
Cô Ba Nữ - Cháo Bầu	26	7	3.71
Cô Ba Xứ Quảng	16	4	4
Cô Ba Xứ Quảng - Home Kitchen	16	4	4
Cô Điệp - Nem Nướng Nha Trang	7	2	3.5
Cố Đô - An Dương Vương	16	4	4
Có Gì Bán Đấy	8	3	2.67
Cô Hoa - Bánh Mì Nướng Muối Ớt	8	2	4
Cò Kiếu Bên Sông 	3	1	3
Cô Kim - Cơm Trưa Văn Phòng	7	2	3.5
Cô Lan - Bún Cà Ri Gà	7	2	3.5
Cô Liên - Bánh Khọt Vũng Tàu	4	2	2
Cô Liên - Bò Lá Lốt & Mỡ Chài	4	1	4
Cô Mai - Bún Suông & Bún Mắm	7	2	3.5
Cô Năm - Cút Chiên Bơ 	60	16	3.75
Cơ Nguyễn Spa - Nguyễn Cửu Đàm	8	2	4
Cô Phượng	12	3	4
Cơ Sở Nấu Tiệc Gia Hưng	8	2	4
Cô Tám - Bánh Mì Nướng Muối Ớt	15	4	3.75
Cô Tám - Bò Bít Tết	4	1	4
Cô Tấm Kitchen 	5	2	2.5
Cô Tám Miền Trung - Món Cuốn, Bánh Bèo & Bún Trộn	4	1	4
Cô Thanh - SC Vivo City	24	6	4
Cô Thảo - Phá Lấu Bò	28	7	4
Cỏ Tranh	21	5	4.2
Cô Túc - Bánh Canh & Mì	14	3	4.67
Cobalt Restaurant & Bar - Rooftop Pullman Hotel	7	2	3.5
Cobalt Restaurant and Bar	108	25	4.32
Coc Coffee 161	4	1	4
Coca Express - Parkson CT Plaza	16	4	4
Coca Macaron	5	1	5
Coca Store	30	6	5
Coca Suki - Lẩu Và Món Thái - Parkson Hùng Vương	4	1	4
Coca Suki - Lẩu Và Món Thái - UnionSquare	6	2	3
Coca Suki - Vincom Center A	16	4	4
Cocha Micha	20	5	4
Cocha Micha - Quán Cơm Chảo	8	2	4
Cochee Coffee & Cheesy Food	12	3	4
Cochee Coffee & Cheesy Foods	19	5	3.8
COCO 5 - Nguyễn Tri Phương	4	1	4
Coco Beachcamp	9	2	4.5
Coco Kem - Trần Đình Xu	8	2	4
Coco lover - Bàu Cát	16	4	4
Coco Sushi	46	16	2.88
Coco5 - Đồng Nai	9	2	4.5
Coco5 - Đồng Nai 	95	19	5
Coco5 - Lý Chính Thắng	30	6	5
CoCo5 - Nguyễn Huệ	4	1	4
Coco5 - Nguyễn Huệ 	100	20	5
Coco5 - Nguyễn Tri Phương	120	24	5
CoCo5 Món Ngon Đường Phố Bangkok - CN1	20	5	4
CoCo5 Món Ngon Đường Phố Bangkok - CN2 	26	7	3.71
CoCo5 Món Ngon Đường Phố Bangkok - CN3	14	4	3.5
CoCo5 Món Ngon Đường Phố Bangkok - CN5	12	4	3
Cocochin Food Court	12	3	4
Coconut - Hùng Vương	7	2	3.5
Coconut Coffee 	14	4	3.5
CocoRico - Gà Nướng Pháp	3	1	3
Cocorico - Savoury French Roast Chicken	54	17	3.18
Coffee 25 - Take Away	14	5	2.8
Coffee Bean & Tea Leaf	16	4	4
Coffee Bello & Ice Cream	4	1	4
Coffee Flower & Tea	8	2	4
Coffee House Vietnam	9	3	3
Coffee House Vietnam - Rừng & Biển Cafe	34	9	3.78
Coffee Mưa Aucostic - Hoàng Diệu 2	5	1	5
Coffee Perfume - Lê Thị Riêng	36	9	4
Coffee Spin	3	1	3
Coffee Stress	12	3	4
Coffee Terrace - MerPerle Crystal Palace	15	3	5
Coffee Tree Take Away	8	2	4
Cối Cafe - Trần Quang Khải	8	2	4
Cõi Xưa Cafe - Tân Canh	7	2	3.5
Colorful Market	8	2	4
Cơm Bác Cả	0	1	0
Cơm Bác Cả - Nguyễn Công Trứ	8	2	4
Cơm bình dân - Phan Văn Trị	4	1	4
Cơm Bình Dân Bà Bảy	5	1	5
Cơm chảo - Mì chảo Cocha Micha	4	1	4
Cơm Chay 27	6	2	3
Cơm cháy chà bông	5	1	5
Cơm Cháy Chà Bông Mỡ Hành Ngon Ngon - Shop Online	5	1	5
Cơm cháy chà bông Thành Tài	0	2	0
Cơm cháy chất - CMT8	5	1	5
Cơm Chay Diệu Giác	16	4	4
Cơm Chay Diệu Ngọc	3	1	3
Cơm chay Đóa Sen Vàng - Bắc Hải	16	5	3.2
Cơm chay Đóa Sen Vàng - Tân Phú	4	2	2
Cơm Chay Giác Đức	16	4	4
Cơm Chay Khai Tâm 	8	2	4
Com Chay Mani	190	44	4.32
Cơm cháy Nam Kỳ Khởi Nghĩa - Gánh Hàng Rong	8	2	4
Cơm Cháy Nhà Mần - Crunchy & Yummy - Shop Online	8	2	4
Cơm cháy nước mắm Susu SG	0	1	0
Cơm Chay Phương Tịnh	0	3	0
Cơm cháy, xôi chiên, bánh tráng cuốn Q11	4	1	4
Cơm Chiên & Nui Xào Bò - Cống Quỳnh	6	2	3
Com Deli	6	3	2
Cơm Express - Tô Hiến Thành	8	2	4
Cơm Gà Bà Luận Tam Kỳ - Cao Thắng	2	2	1
Cơm gà Bà Luận Tam Kỳ - Phan Xích Long	16	4	4
Cơm gà cháy tỏi sốt mạch nha	3	1	3
Cơm Gà Da Giòn - Đường D1	4	1	4
Cơm Gà Da Giòn - Đường D2	13	4	3.25
Cơm gà da giòn - Nguyễn Trọng Tuyển	12	3	4
Cơm Gà Đông Nguyên - Nguyễn Trãi	12	3	4
Cơm gà Hải Nam - Âu Cơ	11	3	3.67
Cơm Gà Hải Nam - Lê Thị Hồng Gấm	20	5	4
Cơm Gà Hải Nam - Nguyễn Tri Phương	51	14	3.64
Cơm Gà Hải Nam - Thành Thái	5	2	2.5
Cơm Gà Hải Nam - Trần Hưng Đạo	4	1	4
Cơm gà Hải Nam Lộc Phát	16	4	4
Cơm Gà Hội An	7	2	3.5
Cơm gà Hội An - Cách Mạng Tháng 8	48	12	4
Cơm Gà Hội An - Cơm Gà Má Lợi	16	4	4
Cơm Gà Hồng Phát - Tân Bình	8	2	4
Cơm gà Hồng Xương - Lê Văn Sỹ	12	3	4
Cơm Gà Hồng Xương - Nguyễn Trãi	10	3	3.33
Cơm gà Má Lợi 	19	4	4.75
Cơm gà Nha Trang Nhất Tâm	4	1	4
Cơm gà nướng Ngọc Bích - Đồng Nai	5	1	5
Cơm Gà Nướng Than - Cách Mạng Tháng 8	4	1	4
Cơm Gà Quay Chảo - Lạc Long Quân	5	1	5
Cơm Gà Sơn Ký	8	2	4
Cơm gà sốt dầu hào - Phan Đình Phùng	1	1	1
Cơm Gà Tam Kỳ Hồng Nga - Bùi Thị Xuân	10	2	5
Cơm Gà Thành Ký	5	1	5
Cơm Gà Thượng Hải - Ẩm Thực Trung Hoa	41	10	4.1
Cơm gà Trâm Anh - Bà Triệu	4	1	4
Cơm Gà Truyền Ký  - Quận 11	8	2	4
Cơm Gà Vịt Quay - Cơm Gà Thượng Hải	8	2	4
Cơm Gà Xối Mỡ - Cách Mạng Tháng Tám 	2	1	2
Cơm gà xối mỡ - Hải Thượng Lãn Ông	11	3	3.67
Cơm gà xối mỡ - Huỳnh Đình Hai	4	1	4
Cơm gà xối mỡ - Phan Văn Trị	4	1	4
Cơm gà xối mỡ - Trần Văn Đang	4	1	4
Cơm Gà Xối Mỡ 268 - Nguyễn Văn Đậu	3	1	3
Cơm Gà Xối Mỡ Ánh Vy - Bà Hạt	8	2	4
Cơm gà xối mỡ Bến Ba Đình	8	2	4
Cơm Gà Xối Mỡ Su Su	24	6	4
Cơm Gà Xóm Chiếu	4	1	4
Cơm Giòn 15K	8	2	4
Cơm Hải Nam	4	1	4
Cơm Hạnh Thu	10	3	3.33
Cơm Hộp Hàn Quốc	20	5	4
Cơm nắm Japan 	6	2	3
Cơm Ngon - Aeon Bình Dương	4	1	4
Cơm Niêu Ba Hiền - Võ Văn Tần	7	2	3.5
Cơm Niêu D2	16	4	4
Cơm Niêu Hoa Sữa	8	2	4
Cơm Niêu Phương Nam 	2	2	1
Cơm Niêu Sài Gòn - 27 Tú Xương	24	7	3.43
Cơm Niêu Sài Gòn - Hồ Xuân Hương	8	2	4
Cơm Niêu Singapore - Hoàng Hoa Thám	4	1	4
Cơm Niêu Singapore - Nguyễn Đình Chiểu	16	4	4
Cơm Niêu Singapore - Sư Vạn Hạnh	41	11	3.73
Cơm niêu Singapore.	4	1	4
Cơm niêu Thuận Thành	4	1	4
Cơm Nướng Hotto - Lotte Mart Cộng Hòa	25	5	5
Cơm Nướng Hotto - Lotte Mart Nam Sài Gòn	8	2	4
Cơm Nướng Hotto - Pico Lotte	7	2	3.5
Cơm Nướng Hotto - Vincom Quang Trung	8	2	4
Com Quynh Mai	4	4	1
Cơm sấy chiên giòn Vy Thanh	0	1	0
Cơm Sườn Mê Kông	8	2	4
Cơm tấm - 74 Nguyễn Văn Cừ 	4	1	4
Cơm Tấm 112	4	1	4
Cơm Tấm 2 Ghiền	3	1	3
Cơm Tấm 207	4	1	4
Cơm Tấm 39 - Phan Xích Long	8	2	4
Cơm tấm 390	4	1	4
Cơm Tấm 68 - Trần Nhân Tôn	8	2	4
Cơm Tấm 71	8	2	4
Cơm tấm A Trưởng	4	1	4
Cơm Tấm An Dương Vương	9	3	3
Cơm Tấm Ba Ghiền	45	13	3.46
Cơm tấm Ba Há	9	2	4.5
Cơm Tấm Ba Sơn	8	2	4
Cơm tấm bãi rác 	4	1	4
Cơm Tấm Bảy Hiền	21	5	4.2
Cơm Tấm Bò Kho - Võ Thị Sáu	3	2	1.5
Cơm Tấm Bụi Sài Gòn - Lê Văn Lương	7	2	3.5
Cơm tấm Bụi Sài Gòn - Thạch Thị Thang	16	4	4
Cơm Tấm C2	8	2	4
Cơm tấm C8 - Xóm Chiếu	4	1	4
Cơm Tấm Cali - Nguyễn Huệ 	8	2	4
Cơm Tấm Cali 11 - Xô Viết Nghệ Tĩnh	3	2	1.5
Cơm tấm Cali 2 - Hai Bà Trưng	4	2	2
Cơm Tấm Cali 4	8	2	4
Cơm Tấm Cali 5 - Nguyễn Chí Thanh	4	2	2
Cơm Tấm Cô Lệ - Xô Viết Nghệ Tĩnh	7	2	3.5
Cơm Tấm Cô Tuyết	5	1	5
Cơm Tấm Đêm - Lê Hồng Phong	8	2	4
Cơm Tấm Đêm Bến Tre - Huỳnh Tấn Phát	9	2	4.5
Cơm Tấm Dì Năm - Khánh Hội	10	3	3.33
Cơm tấm gà - Phú Khương	5	1	5
